time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T19:54:50.990Z,38.8356667,-122.8099976,2.08,0.56,md,8,77,0.01225,0.01,nc,nc73288315,2019-10-07T19:56:29.819Z,"8km WNW of Cobb, CA",earthquake,0.43,1.31,,1,automatic,nc,nc
2019-10-07T19:51:19.230Z,38.8138351,-122.8198318,2.72,0.88,md,21,51,0.008827,0.02,nc,nc73288305,2019-10-07T19:58:03.556Z,"7km NW of The Geysers, CA",earthquake,0.26,0.41,0.16,3,automatic,nc,nc
2019-10-07T19:50:40.120Z,35.5311667,-117.366,7.9,1.89,ml,35,68,0.006318,0.18,ci,ci39117464,2019-10-07T19:54:32.975Z,"26km S of Trona, CA",earthquake,0.28,0.6,0.119,26,automatic,ci,ci
2019-10-07T19:45:12.278Z,65.7987,-151.2797,0,1.6,ml,,,,0.73,ak,ak019cve232m,2019-10-07T19:49:05.594Z,"79km NNE of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T19:34:50.450Z,36.0456667,-117.8613333,1.47,0.97,ml,13,152,0.04458,0.16,ci,ci39117416,2019-10-07T19:38:22.400Z,"8km E of Coso Junction, CA",earthquake,0.39,0.29,0.188,15,automatic,ci,ci
2019-10-07T19:34:21.100Z,36.1116667,-117.8826667,4.71,1.11,ml,16,112,0.02328,0.11,ci,ci39117408,2019-10-07T19:37:58.398Z,"10km NE of Coso Junction, CA",earthquake,0.3,0.43,0.247,17,automatic,ci,ci
2019-10-07T19:16:16.830Z,35.8383333,-117.6668333,7.76,1.67,ml,21,78,0.06068,0.18,ci,ci39117368,2019-10-07T19:20:04.242Z,"24km N of Ridgecrest, CA",earthquake,0.27,0.81,0.167,26,automatic,ci,ci
2019-10-07T19:12:21.240Z,33.9786667,-117.0531667,2.09,0.81,ml,23,88,0.08309,0.28,ci,ci39117352,2019-10-07T19:16:03.268Z,"1km S of Calimesa, CA",earthquake,0.43,0.98,0.223,22,automatic,ci,ci
2019-10-07T19:05:07.640Z,35.6585,-117.346,1.81,1.5,ml,24,116,0.08422,0.19,ci,ci39117328,2019-10-07T19:08:53.189Z,"12km SSE of Trona, CA",earthquake,0.34,0.58,0.13,20,automatic,ci,ci
2019-10-07T19:03:51.713Z,63.5675,-147.2463,10.1,1.3,ml,,,,1,ak,ak019cvdt5zr,2019-10-07T19:09:46.673Z,"87km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T18:56:01.360Z,36.1126667,-117.8803333,4.51,2,ml,26,56,0.0212,0.11,ci,ci39117304,2019-10-07T18:59:56.915Z,"10km NE of Coso Junction, CA",earthquake,0.2,0.31,0.261,26,automatic,ci,ci
2019-10-07T18:51:56.230Z,19.1800003,-155.4476624,37.9,1.98,md,43,140,0.02802,0.1,hv,hv71170391,2019-10-07T18:55:20.470Z,"4km SE of Pahala, Hawaii",earthquake,0.67,0.64,0.08,6,automatic,hv,hv
2019-10-07T18:43:37.180Z,35.9206667,-117.6445,27.55,0.86,ml,10,93,0.02759,0.21,ci,ci39117280,2019-10-07T18:47:25.884Z,"24km E of Little Lake, CA",earthquake,2.12,1.64,0.241,6,automatic,ci,ci
2019-10-07T18:42:59.069Z,60.2564,-143.4042,0,1.6,ml,,,,1.4,ak,ak019cvdg3si,2019-10-07T18:46:40.636Z,"58km WNW of Cape Yakataga, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-10-07T18:39:14.040Z,38.8366661,-122.8003311,1.94,0.89,md,11,69,0.007992,0.01,nc,nc73288255,2019-10-07T18:47:03.597Z,"7km WNW of Cobb, CA",earthquake,0.4,0.59,,1,automatic,nc,nc
2019-10-07T18:37:31.800Z,38.8154984,-122.8231659,3.02,0.9,md,18,68,0.008118,0.02,nc,nc73288250,2019-10-07T18:45:04.580Z,"7km NW of The Geysers, CA",earthquake,0.27,0.5,0.21,5,automatic,nc,nc
2019-10-07T18:28:56.920Z,35.7695,-117.5745,9.58,0.92,ml,19,114,0.04979,0.16,ci,ci39117248,2019-10-07T18:32:37.934Z,"15km W of Searles Valley, CA",earthquake,0.41,0.81,0.201,10,automatic,ci,ci
2019-10-07T18:25:05.846Z,58.1986,-155.3945,0,1.4,ml,,,,1.02,ak,ak019cvdccj7,2019-10-07T18:34:27.500Z,"91km SE of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T18:12:23.600Z,36.0578333,-117.398,2.07,1.92,ml,31,79,0.07375,0.18,ci,ci39117232,2019-10-07T18:23:35.150Z,"32km N of Searles Valley, CA",earthquake,0.27,0.58,0.096,26,automatic,ci,ci
2019-10-07T18:00:12.160Z,34.0255,-117.2105,15.46,1.12,ml,33,50,0.1393,0.27,ci,ci39117224,2019-10-07T18:03:55.279Z,"4km SW of Redlands, CA",earthquake,0.43,1.1,0.272,32,automatic,ci,ci
2019-10-07T17:57:17.975Z,61.34,-151.8879,87.9,1.2,ml,,,,0.34,ak,ak019cvcxsr5,2019-10-07T18:01:57.426Z,"79km NNW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T17:55:21.660Z,33.5255,-116.8635,10.79,0.96,ml,36,38,0.105,0.23,ci,ci39117208,2019-10-07T17:59:07.880Z,"9km N of Aguanga, CA",earthquake,0.28,0.64,0.241,28,automatic,ci,ci
2019-10-07T17:52:23.727Z,36.6456,-116.1142,5.4,-0.5,ml,12,132.55,0.052,0.1078,nn,nn00706600,2019-10-07T18:12:22.323Z,"49km NNW of Pahrump, Nevada",earthquake,,1.3,0.35,4,reviewed,nn,nn
2019-10-07T17:45:40.966Z,60.2439,-152.4911,102,2,ml,,,,0.42,ak,ak019cvcv9ya,2019-10-07T18:04:03.040Z,"30km SSE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-07T17:35:04.857Z,63.1026,-151.4687,4.1,1.5,ml,,,,0.56,ak,ak019cvct1zu,2019-10-07T17:47:01.818Z,"111km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
